"","Player","X2022.Salary","X2022.Signing","G","GS","MIN","PTS","FGM","FGA","FG.","X2PM","X2PA","X2P.","X3PM","X3PA","X3P.","FTM","FTA","FT.","ORB","DRB","TRB","AST","TOV","STL","BLK","PF","Is_NBA"
"119","Michaela Onyenwere",68552,"Rookie",34,1,13.7,4.7,1.4,3.8,"37.70%",1,2.4,"42.50%",0.4,1.5,"30.00%",1.4,1.6,"83.60%",0.4,1.7,2.1,0.4,0.7,0.4,0.2,2,0
"120","Destiny Slocum",4041,"Hardship",3,0,13.7,4.7,1.3,3.7,"36.40%",0.3,0.7,"50.00%",1,3,"33.30%",1,1.7,"60.00%",0,1.3,1.3,1.3,1.7,0,0,1.3,0
"121","Naz Hillmon",63389,"Rookie",34,12,19.8,4.4,1.7,3.6,"48.00%",1.7,3.6,"48.80%",0,0.1,"0.00%",0.9,1.1,"82.10%",1.5,3.5,5.1,1.2,1.2,0.6,0.3,1.5,0
"122","Alanna Smith",19285,"UFA",9,1,12.8,4.3,1.6,4.7,"33.30%",0.9,1.9,"47.10%",0.7,2.8,"24.00%",0.6,0.8,"71.40%",0.9,1.8,2.7,0.6,0.9,0.9,0.7,1.9,0
"123","Bridget Carleton",72141,"Reserved",36,2,16.8,4.3,1.5,3.7,"40.30%",0.7,1.4,"48.10%",0.8,2.3,"35.40%",0.5,0.7,"73.10%",0.3,1.8,2.1,1.1,0.6,0.4,0.1,1.6,0
"124","Brianna Turner",72141,NA,35,35,33.4,4.3,1.9,3.2,"60.70%",1.9,3.2,"60.70%",0,0,NA,0.4,0.9,"50.00%",2,4.8,6.8,2.3,1.4,1.3,1.6,2.3,0
"125","Dana Evans",62774,"Rookie",33,1,11.5,4.3,1.5,3.9,"37.70%",0.8,1.9,"42.90%",0.7,2,"32.80%",0.7,0.8,"88.00%",0.2,0.7,0.8,1.2,0.8,0.3,0.1,0.9,0
"126","Yvonne Turner",2143,"Hardship",9,2,15.4,4,1.3,4.1,"32.40%",1,3.3,"30.00%",0.3,0.8,"42.90%",1,1.2,"81.80%",0.3,1.2,1.6,2,1.4,0.3,0,1.3,0
"127","Olivia Nelson-Ododa",63389,"Rookie",30,6,14.5,4,1.6,2.8,"56.00%",1.6,2.8,"56.00%",0,0,NA,0.9,1.2,"70.30%",1.1,1.8,2.9,0.4,1,0.3,0.8,2.6,0
"128","Theresa Plaisance",72141,"UFA",31,2,12.9,4,1.4,3.7,"37.10%",0.4,0.9,"44.40%",1,2.9,"34.80%",0.2,0.3,"70.00%",0.5,2.1,2.6,0.5,0.6,0.3,0.4,1.3,0
"129","Yvonne Turner",5357,"Hardship",9,2,15.4,4,1.3,4.1,"32.40%",1,3.3,"30.00%",0.3,0.8,"42.90%",1,1.2,"81.80%",0.3,1.2,1.6,2,1.4,0.3,0,1.3,0
"130","Yvonne Turner",3750,"Hardship",9,2,15.4,4,1.3,4.1,"32.40%",1,3.3,"30.00%",0.3,0.8,"42.90%",1,1.2,"81.80%",0.3,1.2,1.6,2,1.4,0.3,0,1.3,0
"131","Epiphanny Prince",115000,"UFA",33,0,12.3,3.9,1.3,3.8,"35.50%",0.7,2,"35.40%",0.6,1.8,"35.60%",0.6,0.8,"84.00%",0.2,0.8,1,1.8,0.5,0.6,0.1,0.9,0
"132","Lexie Hull",69224,"Rookie",26,4,12.9,3.8,1.1,4,"26.70%",0.8,2.4,"32.30%",0.3,1.7,"18.60%",1.4,1.5,"90.00%",0.4,1.1,1.5,0.7,0.7,0.6,0.1,1.8,0
"133","Iliana Rupert",37420,"Rookie",17,0,13.1,3.8,1.5,3.2,"46.30%",0.6,0.9,"68.80%",0.8,2.2,"36.80%",0.1,0.2,"33.30%",0.6,1.6,2.3,0.9,0.5,0.4,0,2.1,0
"134","Jantel Lavender",114000,"UFA",27,4,12.2,3.8,1.7,4.1,"40.90%",1.5,3.2,"46.50%",0.2,0.9,"20.80%",0.3,0.4,"66.70%",1,2.3,3.3,0.9,0.9,0.1,0.1,1.1,0
"135","Jantel Lavender",72141,"UFA",27,4,12.2,3.8,1.7,4.1,"40.90%",1.5,3.2,"46.50%",0.2,0.9,"20.80%",0.3,0.4,"66.70%",1,2.3,3.3,0.9,0.9,0.1,0.1,1.1,0
"136","Megan Gustafson",72141,"UFA",33,0,9.6,3.8,1.5,2.8,"54.90%",1.2,2,"58.50%",0.4,0.8,"46.20%",0.4,0.5,"76.50%",0.5,1.4,1.9,0.5,0.7,0.2,0.2,1.9,0
"137","Briann January",140000,"UFA",36,5,16.9,3.7,1.3,3.4,"37.70%",0.6,1.3,"47.90%",0.6,2.1,"31.10%",0.5,0.6,"82.60%",0.2,0.8,1,2.4,1.5,0.6,0.2,1.6,0
"138","Alaina Coates",24999,"UFA",8,0,9.4,3.5,0.9,1.4,"63.60%",0.9,1.4,"63.60%",0,0,NA,1.8,1.9,"93.30%",0.8,1.3,2,0.3,0.6,0.3,0.4,2.3,0
"139","Jennie Simms",8083,"Hardship",23,4,13.2,3.4,1.3,2.7,"47.60%",1.1,1.9,"59.10%",0.2,0.8,"21.10%",0.7,0.8,"78.90%",0.6,1.7,2.2,0.9,1,0.5,0,1.7,0
"140","Jennie Simms",10477,"UFA",23,4,13.2,3.4,1.3,2.7,"47.60%",1.1,1.9,"59.10%",0.2,0.8,"21.10%",0.7,0.8,"78.90%",0.6,1.7,2.2,0.9,1,0.5,0,1.7,0
"141","Jennie Simms",12573,"UFA",23,4,13.2,3.4,1.3,2.7,"47.60%",1.1,1.9,"59.10%",0.2,0.8,"21.10%",0.7,0.8,"78.90%",0.6,1.7,2.2,0.9,1,0.5,0,1.7,0
"142","Megan Walker",24996,NA,12,0,9.6,3.3,1.2,3.2,"36.80%",0.6,1.6,"36.80%",0.6,1.6,"36.80%",0.3,0.5,"66.70%",0.3,0.5,0.8,0.4,1,0.3,0,0.7,0
"143","Yvonne Anderson",23350,"UFA",11,0,9.2,3.2,1.1,2.4,"46.20%",0.7,1.5,"50.00%",0.4,0.9,"40.00%",0.6,0.6,"100.00%",0.3,0.5,0.8,1.1,1,0.3,0.2,1.3,0
"144","Bria Hartley",23000,"UFA",13,0,9.5,3,1.1,2.8,"37.80%",0.5,1.5,"35.00%",0.5,1.3,"41.20%",0.3,0.5,"66.70%",0.1,0.8,0.9,1.1,0.8,0.3,0,0.5,0
"145","Bria Hartley",175911,NA,13,0,9.5,3,1.1,2.8,"37.80%",0.5,1.5,"35.00%",0.5,1.3,"41.20%",0.3,0.5,"66.70%",0.1,0.8,0.9,1.1,0.8,0.3,0,0.5,0
"146","Karlie Samuelson",3214,"Hardship",1,0,10.2,3,1,3,"33.30%",0,0,NA,1,3,"33.30%",0,0,NA,0,3,3,1,1,0,0,1,0
"147","Julie Allemand",61049,NA,25,4,16.1,3,1,2.4,"41.70%",0.6,1.2,"55.20%",0.4,1.2,"29.00%",0.6,0.7,"83.30%",0.4,1.2,1.6,3.4,1.3,0.6,0.1,0.9,0
"148","Evina Westbrook",26344,"UFA",20,2,10.2,2.8,1,2.7,"37.70%",0.8,1.7,"45.50%",0.3,1,"25.00%",0.6,0.8,"73.30%",0.1,1,1,1.2,0.8,0.4,0.4,0.9,0
"149","Evina Westbrook",12573,"UFA",20,2,10.2,2.8,1,2.7,"37.70%",0.8,1.7,"45.50%",0.3,1,"25.00%",0.6,0.8,"73.30%",0.1,1,1,1.2,0.8,0.4,0.4,0.9,0
"150","Evina Westbrook",16764,"UFA",20,2,10.2,2.8,1,2.7,"37.70%",0.8,1.7,"45.50%",0.3,1,"25.00%",0.6,0.8,"73.30%",0.1,1,1,1.2,0.8,0.4,0.4,0.9,0
"151","Awak Kuier",71441,"Rookie",33,0,12.6,2.8,1,2.6,"39.50%",0.9,2,"46.20%",0.1,0.6,"19.00%",0.6,0.9,"61.30%",0.7,1.8,2.5,0.9,0.6,0.4,0.9,0.8,0
"152","Kianna Smith",8382,"UFA",11,0,10.2,2.6,1,3.2,"31.40%",0.5,1.5,"35.30%",0.5,1.6,"27.80%",0.2,0.2,"100.00%",0.5,0.4,0.8,0.5,0.4,0.4,0,1,0
"153","Kianna Smith",9285,"UFA",11,0,10.2,2.6,1,3.2,"31.40%",0.5,1.5,"35.30%",0.5,1.6,"27.80%",0.2,0.2,"100.00%",0.5,0.4,0.8,0.5,0.4,0.4,0,1,0
"154","Jocelyn Willoughby",70127,NA,11,4,11,2.6,1,2.4,"42.30%",0.7,1.4,"53.30%",0.3,1,"27.30%",0.4,0.7,"50.00%",0.2,1.5,1.6,0.4,0.8,0.5,0.2,0.7,0
"155","Veronica Burton",69224,"Rookie",36,6,15.2,2.6,0.7,2.1,"32.90%",0.4,0.9,"39.40%",0.3,1.2,"27.90%",0.9,0.9,"100.00%",0.5,1,1.5,1.9,1,0.9,0.3,1.4,0
"156","Kia Vaughn",110000,"UFA",29,1,13.8,2.5,1.1,2.8,"40.00%",1.1,2.7,"40.50%",0,0,"0.00%",0.3,0.4,"69.20%",1,2.2,3.2,0.9,1.2,0.3,0.3,1.7,0
"157","Ruthy Hebard",73211,NA,24,0,9.7,2.3,1,2,"51.00%",1,2,"51.00%",0,0,NA,0.3,0.3,"75.00%",0.3,1.4,1.7,0.5,0.5,0.3,0.1,1.2,0
"158","DiDi Richards",62774,"Rookie",14,0,11.1,2.3,0.8,2.6,"30.60%",0.6,1.8,"32.00%",0.2,0.8,"27.30%",0.5,0.7,"70.00%",0.4,1.4,1.7,1.4,0.9,0.1,0.4,1.8,0
"159","Kiah Stokes",115000,"UFA",31,4,15.3,2.3,0.8,2,"42.60%",0.7,1.2,"56.80%",0.2,0.8,"20.80%",0.4,0.5,"81.30%",0.9,3.5,4.4,0.6,0.6,0.5,0.8,1.3,0
"160","Khayla Pointer",37121,"ROS",10,0,5.8,2.2,0.7,1.2,"58.30%",0.6,0.8,"75.00%",0.1,0.4,"25.00%",0.7,1.4,"50.00%",0.1,0.7,0.8,0.2,0.9,0.2,0,0.2,0
"161","Reshanda Gray",15000,"UFA",27,0,8.8,2.2,0.9,2.1,"43.90%",0.8,1.6,"51.20%",0.1,0.5,"21.40%",0.2,0.3,"66.70%",0.6,1.4,2,0.4,1,0.3,0.2,2.1,0
"162","Reshanda Gray",19999,"UFA",27,0,8.8,2.2,0.9,2.1,"43.90%",0.8,1.6,"51.20%",0.1,0.5,"21.40%",0.2,0.3,"66.70%",0.6,1.4,2,0.4,1,0.3,0.2,2.1,0
"163","Reshanda Gray",36428,"UFA",27,0,8.8,2.2,0.9,2.1,"43.90%",0.8,1.6,"51.20%",0.1,0.5,"21.40%",0.2,0.3,"66.70%",0.6,1.4,2,0.4,1,0.3,0.2,2.1,0
"164","Beatrice Mompremier",60471,"Reserved",21,0,8.3,2.1,1,2.1,"45.50%",1,2.1,"45.50%",0,0,NA,0.2,0.6,"38.50%",1,1.9,2.8,0.4,0.7,0.1,0.6,1.3,0
"165","Nia Clouden",66306,"Rookie",28,0,8.9,2.1,0.6,1.9,"34.00%",0.2,0.9,"25.00%",0.4,1,"41.40%",0.4,0.6,"58.80%",0.1,0.8,0.8,0.8,0.4,0.2,0,0.9,0
"166","Joyner Holmes",30535,"UFA",26,0,7.9,2,0.7,2.3,"31.10%",0.5,1.5,"35.90%",0.2,0.8,"22.70%",0.4,0.5,"76.90%",0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8,0
"167","Joyner Holmes",14968,"UFA",26,0,7.9,2,0.7,2.3,"31.10%",0.5,1.5,"35.90%",0.2,0.8,"22.70%",0.4,0.5,"76.90%",0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8,0
"168","Joyner Holmes",12573,"UFA",26,0,7.9,2,0.7,2.3,"31.10%",0.5,1.5,"35.90%",0.2,0.8,"22.70%",0.4,0.5,"76.90%",0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8,0
"169","Anneli Maley",8083,"Hardship",4,0,11.1,2,0.8,1.5,"50.00%",0.3,0.8,"33.30%",0.5,0.8,"66.70%",0,0,NA,0.8,1,1.8,0.8,0.3,0.8,0.3,1.5,0
"170","Charli Collier",71441,"Rookie",17,0,4.6,2,0.7,1.6,"44.40%",0.7,1.5,"48.00%",0,0.1,"0.00%",0.6,0.8,"71.40%",0.2,0.4,0.6,0.1,0.6,0.1,0,1.1,0
"171","Mercedes Russell",160000,"RFA",5,0,10.7,2,0.8,1.6,"50.00%",0.8,1.6,"50.00%",0,0,NA,0.4,0.6,"66.70%",0.4,1.4,1.8,0.2,1.4,0,0,1.4,0
"172","Rui Machida",60471,"UFA",36,2,12.9,1.8,0.7,2.3,"31.00%",0.5,1.4,"38.00%",0.2,0.9,"20.60%",0.2,0.3,"66.70%",0.2,0.9,1.1,2.6,1.1,0.4,0.1,0.7,0
"173","Stephanie Jones",3143,"Hardship",5,0,5.3,1.8,0.6,1.6,"37.50%",0.4,1.2,"33.30%",0.2,0.4,"50.00%",0.4,0.4,"100.00%",0.2,0.2,0.4,0.4,0,0.2,0,1,0
"174","Stephanie Jones",1796,"Hardship",5,0,5.3,1.8,0.6,1.6,"37.50%",0.4,1.2,"33.30%",0.2,0.4,"50.00%",0.4,0.4,"100.00%",0.2,0.2,0.4,0.4,0,0.2,0,1,0
"175","Li Yueru",60471,NA,16,0,5.1,1.8,0.5,1.1,"44.40%",0.5,1.1,"44.40%",0,0,NA,0.8,0.8,"100.00%",0.3,1.2,1.5,0.1,0.8,0.1,0.1,0.6,0
"176","Rae Burrell",66306,"Rookie",3,1,14.5,1.7,0.3,3,"11.10%",0,1,"0.00%",0.3,2,"16.70%",0.7,0.7,"100.00%",0.3,0.7,1,0.3,0.3,0.7,0,1.3,0
"177","Jasmine Walker",68552,"Rookie",32,1,8.8,1.6,0.6,2.4,"25.00%",0.3,0.8,"34.60%",0.3,1.6,"20.00%",0.1,0.1,"100.00%",0.4,1.1,1.5,0.2,0.5,0.2,0.1,0.9,0
"178","Sydney Colson",72141,"UFA",18,0,6.8,1.6,0.6,1.8,"31.30%",0.4,1.2,"33.30%",0.2,0.6,"27.30%",0.3,0.3,"100.00%",0.2,0.3,0.4,1,0.4,0.1,0,0.8,0
"179","Aisha Sheppard",63389,"Rookie",23,0,7.6,1.5,0.4,1.8,"23.80%",0,0.4,"11.10%",0.4,1.4,"27.30%",0.3,0.3,"75.00%",0.3,0.3,0.6,0.3,0.3,0.2,0,1.1,0
"180","Kristine Anigwe",36428,"UFA",10,1,6.5,1.5,0.5,1,"50.00%",0.5,1,"50.00%",0,0,NA,0.5,1,"50.00%",0.5,0.8,1.3,0.2,0.6,0.1,0.2,1.2,0
"181","Kamiah Smalls",4041,"Hardship",3,0,11.3,1.3,0.7,2.7,"25.00%",0.7,1.3,"50.00%",0,1.3,"0.00%",0,0,NA,0,1.7,1.7,2,1.3,1.3,0,2,0
"182","Kierstan Bell",66306,"Rookie",21,1,5.8,1.3,0.5,1.6,"30.30%",0.3,0.5,"63.60%",0.1,1,"13.60%",0.2,0.2,"100.00%",0.2,0.7,0.9,0.3,0.2,0.1,0.1,0.5,0
"183","Rennia Davis",1347,"Hardship",8,0,5.4,1.3,0.6,1.6,"38.50%",0.6,1.4,"45.50%",0,0.3,"0.00%",0,0,NA,0.4,0.6,1,0.1,0.4,0.3,0,0.4,0
"184","Rennia Davis",18560,"Hardship",8,0,5.4,1.3,0.6,1.6,"38.50%",0.6,1.4,"45.50%",0,0.3,"0.00%",0,0,NA,0.4,0.6,1,0.1,0.4,0.3,0,0.4,0
"185","Kiana Williams",3143,"UFA",4,0,7.3,1.3,0.5,2,"25.00%",0.3,1,"25.00%",0.3,1,"25.00%",0,0,NA,0,0.5,0.5,1.3,0.5,0,0,0.3,0
"186","Kiana Williams",4041,"Hardship",4,0,7.3,1.3,0.5,2,"25.00%",0.3,1,"25.00%",0.3,1,"25.00%",0,0,NA,0,0.5,0.5,1.3,0.5,0,0,0.3,0
"187","Jasmine Dickey",60471,"Rookie",20,0,4.7,1.1,0.4,1.7,"21.20%",0.3,1.5,"20.70%",0.1,0.2,"25.00%",0.3,0.5,"66.70%",0.3,0.3,0.6,0.1,0.3,0.2,0.1,0.5,0
"188","Jazmine Jones",6586,"ROS",8,0,5.8,0.8,0.3,1,"25.00%",0.3,0.6,"40.00%",0,0.4,"0.00%",0.3,0.6,"40.00%",0,0.3,0.3,0.1,0.4,0.3,0,0.6,0
"189","Jazmine Jones",12573,"UFA",8,0,5.8,0.8,0.3,1,"25.00%",0.3,0.6,"40.00%",0,0.4,"0.00%",0.3,0.6,"40.00%",0,0.3,0.3,0.1,0.4,0.3,0,0.6,0
"190","Amy Atwell",20955,"Rookie",4,1,7.9,0.8,0.3,2.3,"11.10%",0,0.8,"0.00%",0.3,1.5,"16.70%",0,0,NA,0.3,0.3,0.5,0.5,0.5,0,0,0.3,0
"191","Jazmine Jones",2994,"ROS",8,0,5.8,0.8,0.3,1,"25.00%",0.3,0.6,"40.00%",0,0.4,"0.00%",0.3,0.6,"40.00%",0,0.3,0.3,0.1,0.4,0.3,0,0.6,0
"192","Lorela Cubaj",63389,"Rookie",11,0,8,0.7,0.4,1.1,"33.30%",0.4,1.1,"33.30%",0,0,NA,0,0,NA,0.8,1.3,2.1,0.4,0.5,0,0.2,1.1,0
"193","Elissa Cunane",9878,"Hardship",3,0,3.3,0.7,0.3,0.7,"50.00%",0.3,0.3,"100.00%",0,0.3,"0.00%",0,0,NA,0.7,1,1.7,0,0.3,0,0,0.3,0
"194","Sam Thomas",60471,"UFA",24,0,4.9,0.4,0.2,0.8,"21.10%",0.1,0.2,"75.00%",0,0.6,"6.70%",0,0,"100.00%",0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.5,0
"195","Kaila Charles",1796,"Hardship",1,0,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0
"196","Tina Krajisnik",8532,"Hardship",2,0,2.7,0,0,0.5,"0.00%",0,0.5,"0.00%",0,0,NA,0,0,NA,0,0,0,1,0,0.5,0,1,0
"197","Kaila Charles",898,"Hardship",1,0,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0
"198","Hannah Sjerven",4490,"Hardship",3,0,3,0,0,0.3,"0.00%",0,0.3,"0.00%",0,0,NA,0,0,NA,0,0,0,0,0,0,0.3,0.7,0
"199","Raina Perez",2245,"Hardship",1,0,2.3,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0
"200","Brittney Griner",227900,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"201","Kia Nurse",73542,"RFA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"202",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"203",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"204",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"205",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"206",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"207",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"208",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"209",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"210",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"211",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"212",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"213",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"214",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"215",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"216",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"217",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"218",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"219",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"220",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"221",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"222",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"223",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"224",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"225",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"226",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"227",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"228",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"229",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"230",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"231",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"232",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"233",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"234",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"235",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"236",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"237",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"238",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"239",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"240",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"241",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"242",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"243",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"244",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"245",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"246",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"247",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"248",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"249",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"250",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"251",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"252",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"253",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"254",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"255",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"256",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
"257",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0
